date,season,weekday,weathersit,temperature,windspeed,totalRental,casual,registered,month,holiday
2012-01-01,springer,Sun,Clear,18.78105,0.192167,2294,686,1608,Jan,0
2012-01-02,springer,Mon,Clear,12.6152,0.329665,1951,244,1707,Jan,1
2012-01-03,springer,Tue,Clear,6.31375,0.365671,2236,89,2147,Jan,0
2012-01-04,springer,Wed,Mist,5.96685,0.1847,2368,95,2273,Jan,0
2012-01-05,springer,Thu,Clear,13.9206,0.129987,3272,140,3132,Jan,0
2012-01-06,springer,Fri,Clear,17.01335,0.167908,4098,307,3791,Jan,0
2012-01-07,springer,Sat,Clear,19.53895,0.174758,4521,1070,3451,Jan,0
2012-01-08,springer,Sun,Clear,17.0129,0.191542,3425,599,2826,Jan,0
2012-01-09,springer,Mon,Mist,12.37395,0.0989,2376,106,2270,Jan,0
2012-01-10,springer,Tue,Clear,15.9413,0.187552,3598,173,3425,Jan,0
2012-01-11,springer,Wed,Mist,14.14105,0.131221,2177,92,2085,Jan,0
2012-01-12,springer,Thu,Mist,19.0969,0.180967,4097,269,3828,Jan,0
2012-01-13,springer,Fri,Clear,12.4681,0.378108,3214,174,3040,Jan,0
2012-01-14,springer,Sat,Clear,9.15435,0.187183,2493,333,2160,Jan,0
2012-01-15,springer,Sun,Clear,8.08125,0.251258,2311,284,2027,Jan,0
2012-01-16,springer,Mon,Clear,9.53315,0.231358,2298,217,2081,Jan,1
2012-01-17,springer,Tue,Mist,18.2139,0.34913,2935,127,2808,Jan,0
2012-01-18,springer,Wed,Clear,13.7627,0.415429,3376,109,3267,Jan,0
2012-01-19,springer,Thu,Clear,9.5019,0.220158,3292,130,3162,Jan,0
2012-01-20,springer,Fri,Mist,11.0479,0.20275,3163,115,3048,Jan,0
2012-01-21,springer,Sat,Mist,8.74375,0.222642,1301,67,1234,Jan,0
2012-01-22,springer,Sun,Mist,8.1125,0.199638,1977,196,1781,Jan,0
2012-01-23,springer,Mon,Mist,12.1529,0.110708,2432,145,2287,Jan,0
